"","month","value","year","Departamento","Municipio","variable","sector"
"114","Noviembre",1060,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"124","Diciembre",916,2016,"05 - Antioquia","05030 - Amagá","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"17","Enero",198,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"25","Febrero",207,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"35","Marzo",207,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"45","Abril",201,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"55","Mayo",207,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"65","Junio",218,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"75","Julio",258,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"85","Agosto",263,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"95","Septiembre",251,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"105","Octubre",242,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"115","Noviembre",220,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"125","Diciembre",253,2016,"05 - Antioquia","05031 - Amalfi","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"18","Enero",35,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"26","Febrero",38,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"36","Marzo",39,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"46","Abril",39,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"56","Mayo",45,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"66","Junio",66,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"76","Julio",83,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"86","Agosto",77,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"96","Septiembre",67,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"106","Octubre",66,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"116","Noviembre",65,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"126","Diciembre",45,2016,"05 - Antioquia","05034 - Andes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"19","Enero",213,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"27","Febrero",208,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"37","Marzo",229,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"47","Abril",248,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"57","Mayo",244,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"67","Junio",251,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"77","Julio",256,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"87","Agosto",218,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"97","Septiembre",197,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"107","Octubre",197,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"117","Noviembre",189,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"127","Diciembre",190,2016,"05 - Antioquia","05036 - Angelópolis","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"110","Enero",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"28","Febrero",2,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"38","Marzo",2,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"48","Abril",2,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"58","Mayo",2,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"68","Junio",2,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"78","Julio",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"88","Agosto",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"98","Septiembre",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"108","Octubre",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"118","Noviembre",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"128","Diciembre",1,2016,"05 - Antioquia","05038 - Angostura","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"119","Enero",32,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"29","Febrero",32,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"39","Marzo",31,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"49","Abril",31,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"59","Mayo",29,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"69","Junio",29,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"79","Julio",29,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"89","Agosto",28,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"99","Septiembre",69,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"109","Octubre",69,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1110","Noviembre",69,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"129","Diciembre",66,2016,"05 - Antioquia","05040 - Anorí","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"120","Enero",8,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"210","Febrero",6,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"310","Marzo",8,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"410","Abril",12,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"510","Mayo",18,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"610","Junio",37,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"710","Julio",40,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
