"dane_code","department","municipality","cod_dde_2026","cod_mme_2026","municipality_2026","pvs1_petro_2022","petro_winner_2022","winner_name_2022","share_cepeda_2026","cepeda_winner_2026","winner_name_2026","total_votes_2026","match_type","switched_plurality","petro_share_diff","petro_supporter_switched"
"23672","Cordoba","San Antero","13","043","SAN ANTERO",0.431300014257431,TRUE,"gustavo_petro",0.511285494701076,TRUE,"IVÁN CEPEDA CASTRO",12361,"exact",FALSE,0.079985480443645,"No Switch (Still Petro)"
"23675","Cordoba","San Bernardo Del Viento","13","046","SAN BERNARDO DEL VIENTO",0.620800018310547,TRUE,"gustavo_petro",0.652451859359164,TRUE,"IVÁN CEPEDA CASTRO",12827,"exact",FALSE,0.0316518410486174,"No Switch (Still Petro)"
"23682","Cordoba","San Jose De Ure","13","052","SAN JOSE DE URE",0.741200029850006,TRUE,"gustavo_petro",0.770718891807977,TRUE,"IVÁN CEPEDA CASTRO",4187,"exact",FALSE,0.0295188619579709,"No Switch (Still Petro)"
"23686","Cordoba","San Pelayo","13","055","SAN PELAYO",0.546400010585785,TRUE,"gustavo_petro",0.530803635838984,TRUE,"IVÁN CEPEDA CASTRO",20793,"exact",FALSE,-0.0155963747468006,"No Switch (Still Petro)"
"23807","Cordoba","Tierralta","13","058","TIERRALTA",0.500699996948242,TRUE,"gustavo_petro",0.603683918412654,TRUE,"IVÁN CEPEDA CASTRO",28828,"exact",FALSE,0.102983921464412,"No Switch (Still Petro)"
"23815","Cordoba","Tuchin","13","060","TUCHIN",0.4442999958992,TRUE,"gustavo_petro",0.623669467787115,TRUE,"IVÁN CEPEDA CASTRO",14280,"exact",FALSE,0.179369471887914,"No Switch (Still Petro)"
"23855","Cordoba","Valencia","13","061","VALENCIA",0.444199979305267,TRUE,"gustavo_petro",0.497930172615793,TRUE,"IVÁN CEPEDA CASTRO",12803,"exact",FALSE,0.0537301933105259,"No Switch (Still Petro)"
"25001","Cundinamarca","Agua De Dios","15","004","AGUA DE DIOS",0.329399973154068,FALSE,"rodolfo_hernández",0.404140717051002,FALSE,"ABELARDO DE LA ESPRIELLA",5941,"exact",FALSE,0.0747407438969335,"Did not vote Petro before"
"25019","Cundinamarca","Alban","15","007","ALBAN",0.224399998784065,FALSE,"rodolfo_hernández",0.254098360655738,FALSE,"ABELARDO DE LA ESPRIELLA",3416,"exact",FALSE,0.0296983618716725,"Did not vote Petro before"
"25035","Cundinamarca","Anapoima","15","010","ANAPOIMA",0.219300001859665,FALSE,"rodolfo_hernández",0.267814388325162,FALSE,"ABELARDO DE LA ESPRIELLA",8771,"exact",FALSE,0.0485143864654975,"Did not vote Petro before"
"25040","Cundinamarca","Anolaima","15","013","ANOLAIMA",0.208399996161461,FALSE,"rodolfo_hernández",0.238960706514783,FALSE,"ABELARDO DE LA ESPRIELLA",7813,"exact",FALSE,0.0305607103533222,"Did not vote Petro before"
"25053","Cundinamarca","Arbelaez","15","016","ARBELAEZ",0.229599997401237,FALSE,"rodolfo_hernández",0.265345649582837,FALSE,"ABELARDO DE LA ESPRIELLA",6712,"exact",FALSE,0.0357456521815992,"Did not vote Petro before"
"25086","Cundinamarca","Beltran","15","019","BELTRAN",0.230000004172325,FALSE,"rodolfo_hernández",0.342281879194631,FALSE,"ABELARDO DE LA ESPRIELLA",1192,"exact",FALSE,0.112281875022306,"Did not vote Petro before"
"25095","Cundinamarca","Bituima","15","022","BITUIMA",0.19149999320507,FALSE,"rodolfo_hernández",0.194950088079859,FALSE,"ABELARDO DE LA ESPRIELLA",1703,"exact",FALSE,0.00345009487478859,"Did not vote Petro before"
"25099","Cundinamarca","Bojaca","15","025","BOJACA",0.331699967384338,FALSE,"rodolfo_hernández",0.44121320249777,TRUE,"IVÁN CEPEDA CASTRO",5605,"exact",FALSE,0.109513235113431,"Did not vote Petro before"
"25120","Cundinamarca","Cabrera","15","029","CABRERA",0.549700021743774,TRUE,"gustavo_petro",0.597912524850895,TRUE,"IVÁN CEPEDA CASTRO",2012,"exact",FALSE,0.0482125031071202,"No Switch (Still Petro)"
"25123","Cundinamarca","Cachipay","15","030","CACHIPAY",0.227900013327599,FALSE,"rodolfo_hernández",0.262380805905875,FALSE,"ABELARDO DE LA ESPRIELLA",6502,"exact",FALSE,0.0344807925782765,"Did not vote Petro before"
