"","Year","Municipality","Mean_price_of_hydrocarbons_in_USD","Total_production_of_the_field_in_barrels_or_kilo_cubic_feet_by_municipality","Total_volume_of_royalties_liquidated_in_barrels_or_kilo_cubic_feet_by_municipality","Total_royalties_liquidated_in_COP_pesos_by_municipality","Production_Years","Production_2010_2019","Opening","Closing","drop_during_crisis","Production_pause","Unique_oil_field_by_municipality"
"214",2011,"TIBU",92.57,999189,171412.44,29482540679.51,10,1,"","2021","0","1",5
"215",2011,"TOPAGA",72.2275,23238,1859.04,252345476.02,10,1,"","2021","1","1",3
"216",2011,"TRINIDAD",86.9107092198582,2522059,244581.25,39627991025.17,10,1,"","2021","1","1",22
"217",2011,"URIBIA",3.975,55530666,11106133.2,81889234344.25,10,1,"","2021","1","1",4
"218",2011,"VALLE DEL GUAMUEZ",91.3625,256772,51354.4,8630048667.41,10,1,"","2021","0","1",4
"219",2011,"VILLA NUEVA",89.9341379310345,1261893,101125.21,16587025838.22,10,1,"","2021","0","1",16
"220",2011,"VILLAGARZON",79.3333333333333,7314697,666085.03,110894853621.1,10,1,"","2021","1","1",5
"221",2011,"VILLAVICENCIO",59.9759725400458,10558112,1264773.49,127072244732.36,10,1,"","2021","1","1",17
"222",2011,"VILLAVIEJA",87.0775,35968,2877.44,463643622.26,10,1,"","2021","1","1",2
"223",2011,"VISTA HERMOSA",92.5033333333333,568,34.08,5708731.13,8,0,"","2017","0","0",4
"224",2011,"YAGUARA",86.7225,1147270,229454,36671549616.74,10,1,"","2021","1","1",1
"225",2011,"YONDO",77.0015584415584,7101905,751583.54,122267147639.68,10,1,"","2021","1","1",6
"226",2011,"YOPAL",62.2240145985401,54976468,10264379.15,532041947307.28,10,1,"","2021","0","1",24
"227",2011,"ARIGUANI",86.98,1821,145.68,24330693.77,9,0,"2011","2021","0","1",3
"228",2011,"BECERRIL",4.57,736,47.1,413703.41,7,0,"2011","2017","1","0",2
"229",2011,"EL PASO",4.57,1537,98.37,863943.14,9,0,"2011","2021","1","1",3
"230",2011,"GUAMO",92.0071428571429,2467,197.36,33701664.92,9,0,"2011","2020","1","1",2
"231",2011,"MUNICIPIO NN CASANARE",93.4066666666667,84971,16994.2,1399226955.58,9,0,"2011","2021","1","1",5
"232",2011,"MUNICIPIO NN SANTANDER",94.3066666666667,12961,2592.2,215740098.53,9,0,"2011","","1","1",1
"233",2011,"PIJINO DEL CARMEN",40.526,42932,2755.17,19781011.06,4,0,"2011","2014","NA","0",1
"234",2011,"PUEBLO NUEVO",4.515,315827,20212.93,176744033.22,9,0,"2011","2021","0","1",6
"235",2011,"SAN VICENTE DEL CAGUAN",29.56,627,37.62,1994445.52,3,0,"2011","2018","NA","1",1
"236",2011,"SANTA ANA",78.48,281,22.48,3387587,9,0,"2011","2020","0","1",4
"237",2011,"YACOPI",89.838,8896,711.68,116897978.6,4,0,"2011","2014","1","0",1
"238",2011,"MUNICIPIO NN META",NA,NA,NA,NA,4,0,NA,NA,"NA","1",3
"239",2011,"OVEJAS",NA,NA,NA,NA,6,0,NA,NA,"NA","1",2
"240",2011,"PUERTO LLERAS",NA,NA,NA,NA,6,0,NA,NA,"1","0",2
"241",2011,"TELLO",NA,NA,NA,NA,4,0,NA,NA,"NA","0",2
"242",2011,"SAN CAARLOS GUAROA",NA,NA,NA,NA,6,0,NA,NA,"1","1",3
"243",2011,"FONSECA",NA,NA,NA,NA,4,0,NA,NA,"1","0",1
"244",2011,"GAMARRA",NA,NA,NA,NA,5,0,NA,NA,"NA","1",3
"245",2011,"LA UNION",NA,NA,NA,NA,5,0,NA,NA,"NA","1",1
"246",2011,"PENDIENTE CERTIFICADO IGAC",NA,NA,NA,NA,4,0,NA,NA,"NA","1",7
"247",2011,"SABANALARGA",NA,NA,NA,NA,5,0,NA,NA,"NA","1",1
"248",2011,"SAN MARCOS",NA,NA,NA,NA,5,0,NA,NA,"NA","1",3
"249",2011,"ASTREA",NA,NA,NA,NA,4,0,NA,NA,"NA","1",1
"250",2011,"SINCE",NA,NA,NA,NA,3,0,NA,NA,"NA","1",2
"251",2011,"VILLANUEVA",NA,NA,NA,NA,2,0,NA,NA,"NA","1",1
"252",2011,"CAIMITO",NA,NA,NA,NA,1,0,NA,NA,NA,NA,1
"253",2011,"PLATO",NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"254",2011,"PONEDERA",NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"255",2012,"ACACIAS",92.5285,31544339,2501830.38,414236022822.44,10,1,"","2021","0","1",8
"256",2012,"AGUACHICA",95.891568627451,31242,5778.29,997009695.96,10,1,"","2021","0","1",9
"257",2012,"AGUAZUL",55.515811023622,47835532,9050070.41,529472423527.41,10,1,"","2021","0","1",15
"258",2012,"AIPE",65.9877538461539,9064303,1181890.93,124657396601.81,10,1,"","2021","1","1",12
"259",2012,"ALVARADO",93.52,48176,7708.16,1302791554.88,10,1,"","2021","0","1",1
"260",2012,"ARAUCA",95.5868571428571,14664610,2927165.75,500673852384.82,10,1,"","2021","1","1",10
"261",2012,"ARAUQUITA",95.9193522267206,8260919,798198.47,137151993226.09,10,1,"","2021","1","1",26
"262",2012,"BARAYA",93.1,68470,10955.2,1837548157.88,10,1,"","2020","1","1",2
"263",2012,"BARRANCA DE UPIA",45.4817721518987,810200,63518.97,9674537995.44,10,1,"","2021","1","1",5
