"","Measures","Edad","Sexo","Hierarchy","value"
"2541","Numero Total Empleados","51","MASCULINO","2019/06/26",17
"2542","Numero Total Empleados","58","MASCULINO","2019/06/26",17
"2543","Numero Total Empleados","22","FEMENINO","2019/07/02",159
"2544","Numero Total Empleados","23","FEMENINO","2019/07/02",159
"2545","Numero Total Empleados","27","FEMENINO","2019/07/02",159
"2546","Numero Total Empleados","29","FEMENINO","2019/07/02",159
"2547","Numero Total Empleados","30","FEMENINO","2019/07/02",159
"2548","Numero Total Empleados","32","FEMENINO","2019/07/02",159
"2549","Numero Total Empleados","33","FEMENINO","2019/07/02",159
"2550","Numero Total Empleados","34","FEMENINO","2019/07/02",159
"2551","Numero Total Empleados","35","FEMENINO","2019/07/02",159
"2552","Numero Total Empleados","43","FEMENINO","2019/07/02",159
"2553","Numero Total Empleados","47","FEMENINO","2019/07/02",159
"2554","Numero Total Empleados","49","FEMENINO","2019/07/02",159
"2555","Numero Total Empleados","22","MASCULINO","2019/07/02",159
"2556","Numero Total Empleados","23","MASCULINO","2019/07/02",159
"2557","Numero Total Empleados","24","MASCULINO","2019/07/02",159
"2558","Numero Total Empleados","25","MASCULINO","2019/07/02",159
"2559","Numero Total Empleados","26","MASCULINO","2019/07/02",159
"2560","Numero Total Empleados","27","MASCULINO","2019/07/02",159
"2561","Numero Total Empleados","28","MASCULINO","2019/07/02",159
"2562","Numero Total Empleados","29","MASCULINO","2019/07/02",159
"2563","Numero Total Empleados","30","MASCULINO","2019/07/02",159
"2564","Numero Total Empleados","31","MASCULINO","2019/07/02",170
"2565","Numero Total Empleados","32","MASCULINO","2019/07/02",159
"2566","Numero Total Empleados","33","MASCULINO","2019/07/02",159
"2567","Numero Total Empleados","34","MASCULINO","2019/07/02",159
"2568","Numero Total Empleados","35","MASCULINO","2019/07/02",159
"2569","Numero Total Empleados","36","MASCULINO","2019/07/02",168
"2570","Numero Total Empleados","37","MASCULINO","2019/07/02",159
"2571","Numero Total Empleados","38","MASCULINO","2019/07/02",159
"2572","Numero Total Empleados","39","MASCULINO","2019/07/02",159
"2573","Numero Total Empleados","40","MASCULINO","2019/07/02",159
"2574","Numero Total Empleados","41","MASCULINO","2019/07/02",159
"2575","Numero Total Empleados","42","MASCULINO","2019/07/02",159
"2576","Numero Total Empleados","43","MASCULINO","2019/07/02",159
"2577","Numero Total Empleados","44","MASCULINO","2019/07/02",159
"2578","Numero Total Empleados","45","MASCULINO","2019/07/02",159
"2579","Numero Total Empleados","46","MASCULINO","2019/07/02",159
"2580","Numero Total Empleados","47","MASCULINO","2019/07/02",159
"2581","Numero Total Empleados","48","MASCULINO","2019/07/02",159
"2582","Numero Total Empleados","49","MASCULINO","2019/07/02",159
"2583","Numero Total Empleados","50","MASCULINO","2019/07/02",159
"2584","Numero Total Empleados","51","MASCULINO","2019/07/02",159
"2585","Numero Total Empleados","52","MASCULINO","2019/07/02",159
"2586","Numero Total Empleados","53","MASCULINO","2019/07/02",159
"2587","Numero Total Empleados","54","MASCULINO","2019/07/02",159
"2588","Numero Total Empleados","55","MASCULINO","2019/07/02",2
"2589","Numero Total Empleados","56","MASCULINO","2019/07/02",159
"2590","Numero Total Empleados","57","MASCULINO","2019/07/02",159
"2591","Numero Total Empleados","59","MASCULINO","2019/07/02",159
"2592","Numero Total Empleados","61","MASCULINO","2019/07/02",159
"2593","Numero Total Empleados","64","MASCULINO","2019/07/02",159
"2594","Numero Total Empleados","66","MASCULINO","2019/07/02",161
"2595","Numero Total Empleados","68","MASCULINO","2019/07/02",159
"2596","Numero Total Empleados","69","MASCULINO","2019/07/02",159
"2597","Numero Total Empleados","70","MASCULINO","2019/07/02",159
"2598","Numero Total Empleados","30","FEMENINO","2019/07/03",85
"2599","Numero Total Empleados","43","FEMENINO","2019/07/03",85
"2600","Numero Total Empleados","44","FEMENINO","2019/07/03",85
"2601","Numero Total Empleados","58","FEMENINO","2019/07/03",3
"2602","Numero Total Empleados","27","MASCULINO","2019/07/03",85
"2603","Numero Total Empleados","35","MASCULINO","2019/07/03",85
"2604","Numero Total Empleados","41","MASCULINO","2019/07/03",85
"2605","Numero Total Empleados","46","MASCULINO","2019/07/03",85
"2606","Numero Total Empleados","51","MASCULINO","2019/07/03",85
"2607","Numero Total Empleados","57","MASCULINO","2019/07/03",3
"2608","Numero Total Empleados","65","MASCULINO","2019/07/03",3
"2609","Numero Total Empleados","26","FEMENINO","2019/07/04",42
"2610","Numero Total Empleados","30","FEMENINO","2019/07/04",2
"2611","Numero Total Empleados","32","FEMENINO","2019/07/04",2
"2612","Numero Total Empleados","38","FEMENINO","2019/07/04",5
"2613","Numero Total Empleados","41","FEMENINO","2019/07/04",42
"2614","Numero Total Empleados","43","FEMENINO","2019/07/04",42
"2615","Numero Total Empleados","48","FEMENINO","2019/07/04",42
"2616","Numero Total Empleados","50","FEMENINO","2019/07/04",13
"2617","Numero Total Empleados","52","FEMENINO","2019/07/04",42
"2618","Numero Total Empleados","53","FEMENINO","2019/07/04",13
"2619","Numero Total Empleados","54","FEMENINO","2019/07/04",5
"2620","Numero Total Empleados","59","FEMENINO","2019/07/04",42
"2621","Numero Total Empleados","24","MASCULINO","2019/07/04",42
"2622","Numero Total Empleados","25","MASCULINO","2019/07/04",42
"2623","Numero Total Empleados","27","MASCULINO","2019/07/04",42
"2624","Numero Total Empleados","29","MASCULINO","2019/07/04",42
"2625","Numero Total Empleados","30","MASCULINO","2019/07/04",13
"2626","Numero Total Empleados","32","MASCULINO","2019/07/04",55
"2627","Numero Total Empleados","33","MASCULINO","2019/07/04",5
"2628","Numero Total Empleados","34","MASCULINO","2019/07/04",5
"2629","Numero Total Empleados","35","MASCULINO","2019/07/04",42
"2630","Numero Total Empleados","36","MASCULINO","2019/07/04",42
"2631","Numero Total Empleados","37","MASCULINO","2019/07/04",5
"2632","Numero Total Empleados","39","MASCULINO","2019/07/04",13
"2633","Numero Total Empleados","40","MASCULINO","2019/07/04",5
"2634","Numero Total Empleados","41","MASCULINO","2019/07/04",13
"2635","Numero Total Empleados","42","MASCULINO","2019/07/04",55
"2636","Numero Total Empleados","44","MASCULINO","2019/07/04",50
"2637","Numero Total Empleados","45","MASCULINO","2019/07/04",42
"2638","Numero Total Empleados","46","MASCULINO","2019/07/04",60
"2639","Numero Total Empleados","47","MASCULINO","2019/07/04",55
"2640","Numero Total Empleados","50","MASCULINO","2019/07/04",13
"2641","Numero Total Empleados","51","MASCULINO","2019/07/04",55
"2642","Numero Total Empleados","53","MASCULINO","2019/07/04",47
"2643","Numero Total Empleados","56","MASCULINO","2019/07/04",42
"2644","Numero Total Empleados","60","MASCULINO","2019/07/04",42
"2645","Numero Total Empleados","66","MASCULINO","2019/07/04",21
"2646","Numero Total Empleados","32","FEMENINO","2019/07/05",12
"2647","Numero Total Empleados","37","FEMENINO","2019/07/05",4
"2648","Numero Total Empleados","46","FEMENINO","2019/07/05",12
"2649","Numero Total Empleados","47","FEMENINO","2019/07/05",12
"2650","Numero Total Empleados","59","FEMENINO","2019/07/05",12
"2651","Numero Total Empleados","60","FEMENINO","2019/07/05",4
"2652","Numero Total Empleados","61","FEMENINO","2019/07/05",12
"2653","Numero Total Empleados","67","FEMENINO","2019/07/05",4
"2654","Numero Total Empleados","76","FEMENINO","2019/07/05",12
"2655","Numero Total Empleados","28","MASCULINO","2019/07/05",4
"2656","Numero Total Empleados","29","MASCULINO","2019/07/05",12
"2657","Numero Total Empleados","39","MASCULINO","2019/07/05",5
"2658","Numero Total Empleados","41","MASCULINO","2019/07/05",3
"2659","Numero Total Empleados","49","MASCULINO","2019/07/05",3
"2660","Numero Total Empleados","57","MASCULINO","2019/07/05",12
"2661","Numero Total Empleados","61","MASCULINO","2019/07/05",2
"2662","Numero Total Empleados","72","MASCULINO","2019/07/05",12
"2663","Numero Total Empleados","83","MASCULINO","2019/07/05",12
"2664","Numero Total Empleados","84","MASCULINO","2019/07/05",12
"2665","Numero Total Empleados","86","MASCULINO","2019/07/05",12
"2666","Numero Total Empleados","23","FEMENINO","2019/07/08",7
"2667","Numero Total Empleados","44","FEMENINO","2019/07/08",20
"2668","Numero Total Empleados","53","FEMENINO","2019/07/08",40
"2669","Numero Total Empleados","27","MASCULINO","2019/07/08",7
"2670","Numero Total Empleados","31","MASCULINO","2019/07/08",7
"2671","Numero Total Empleados","34","MASCULINO","2019/07/08",7
"2672","Numero Total Empleados","49","MASCULINO","2019/07/08",20
"2673","Numero Total Empleados","51","MASCULINO","2019/07/08",7
"2674","Numero Total Empleados","53","MASCULINO","2019/07/08",7
"2675","Numero Total Empleados","58","MASCULINO","2019/07/08",20
"2676","Numero Total Empleados","69","MASCULINO","2019/07/08",7
"2677","Numero Total Empleados","22","FEMENINO","2019/07/09",9
"2678","Numero Total Empleados","23","FEMENINO","2019/07/09",9
"2679","Numero Total Empleados","27","FEMENINO","2019/07/09",9
"2680","Numero Total Empleados","32","FEMENINO","2019/07/09",9
"2681","Numero Total Empleados","55","FEMENINO","2019/07/09",4
"2682","Numero Total Empleados","22","MASCULINO","2019/07/09",9
"2683","Numero Total Empleados","23","MASCULINO","2019/07/09",23
"2684","Numero Total Empleados","25","MASCULINO","2019/07/09",32
"2685","Numero Total Empleados","26","MASCULINO","2019/07/09",7
"2686","Numero Total Empleados","27","MASCULINO","2019/07/09",18
"2687","Numero Total Empleados","28","MASCULINO","2019/07/09",23
"2688","Numero Total Empleados","29","MASCULINO","2019/07/09",23
"2689","Numero Total Empleados","31","MASCULINO","2019/07/09",23
"2690","Numero Total Empleados","32","MASCULINO","2019/07/09",23
"2691","Numero Total Empleados","33","MASCULINO","2019/07/09",58
"2692","Numero Total Empleados","35","MASCULINO","2019/07/09",23
"2693","Numero Total Empleados","36","MASCULINO","2019/07/09",23
"2694","Numero Total Empleados","37","MASCULINO","2019/07/09",41
"2695","Numero Total Empleados","39","MASCULINO","2019/07/09",18
"2696","Numero Total Empleados","40","MASCULINO","2019/07/09",23
"2697","Numero Total Empleados","41","MASCULINO","2019/07/09",18
"2698","Numero Total Empleados","42","MASCULINO","2019/07/09",30
"2699","Numero Total Empleados","43","MASCULINO","2019/07/09",35
"2700","Numero Total Empleados","45","MASCULINO","2019/07/09",23
"2701","Numero Total Empleados","46","MASCULINO","2019/07/09",35
"2702","Numero Total Empleados","47","MASCULINO","2019/07/09",23
"2703","Numero Total Empleados","48","MASCULINO","2019/07/09",23
"2704","Numero Total Empleados","50","MASCULINO","2019/07/09",23
"2705","Numero Total Empleados","54","MASCULINO","2019/07/09",4
"2706","Numero Total Empleados","61","MASCULINO","2019/07/09",23
"2707","Numero Total Empleados","64","MASCULINO","2019/07/09",7
"2708","Numero Total Empleados","24","FEMENINO","2019/07/10",248
"2709","Numero Total Empleados","26","FEMENINO","2019/07/10",248
"2710","Numero Total Empleados","28","FEMENINO","2019/07/10",268
"2711","Numero Total Empleados","30","FEMENINO","2019/07/10",268
"2712","Numero Total Empleados","31","FEMENINO","2019/07/10",248
"2713","Numero Total Empleados","32","FEMENINO","2019/07/10",248
"2714","Numero Total Empleados","35","FEMENINO","2019/07/10",248
"2715","Numero Total Empleados","36","FEMENINO","2019/07/10",250
"2716","Numero Total Empleados","37","FEMENINO","2019/07/10",248
"2717","Numero Total Empleados","40","FEMENINO","2019/07/10",248
"2718","Numero Total Empleados","42","FEMENINO","2019/07/10",13
"2719","Numero Total Empleados","43","FEMENINO","2019/07/10",248
"2720","Numero Total Empleados","44","FEMENINO","2019/07/10",248
"2721","Numero Total Empleados","49","FEMENINO","2019/07/10",248
"2722","Numero Total Empleados","50","FEMENINO","2019/07/10",248
"2723","Numero Total Empleados","54","FEMENINO","2019/07/10",248
"2724","Numero Total Empleados","55","FEMENINO","2019/07/10",248
"2725","Numero Total Empleados","59","FEMENINO","2019/07/10",248
"2726","Numero Total Empleados","61","FEMENINO","2019/07/10",248
"2727","Numero Total Empleados","66","FEMENINO","2019/07/10",248
"2728","Numero Total Empleados","68","FEMENINO","2019/07/10",248
"2729","Numero Total Empleados","69","FEMENINO","2019/07/10",248
"2730","Numero Total Empleados","23","MASCULINO","2019/07/10",248
"2731","Numero Total Empleados","24","MASCULINO","2019/07/10",248
"2732","Numero Total Empleados","25","MASCULINO","2019/07/10",248
"2733","Numero Total Empleados","26","MASCULINO","2019/07/10",281
"2734","Numero Total Empleados","27","MASCULINO","2019/07/10",248
"2735","Numero Total Empleados","28","MASCULINO","2019/07/10",268
"2736","Numero Total Empleados","29","MASCULINO","2019/07/10",261
"2737","Numero Total Empleados","30","MASCULINO","2019/07/10",248
"2738","Numero Total Empleados","31","MASCULINO","2019/07/10",248
"2739","Numero Total Empleados","32","MASCULINO","2019/07/10",268
"2740","Numero Total Empleados","33","MASCULINO","2019/07/10",248
"2741","Numero Total Empleados","34","MASCULINO","2019/07/10",248
"2742","Numero Total Empleados","35","MASCULINO","2019/07/10",281
"2743","Numero Total Empleados","36","MASCULINO","2019/07/10",268
"2744","Numero Total Empleados","37","MASCULINO","2019/07/10",268
"2745","Numero Total Empleados","38","MASCULINO","2019/07/10",268
"2746","Numero Total Empleados","39","MASCULINO","2019/07/10",248
"2747","Numero Total Empleados","40","MASCULINO","2019/07/10",261
"2748","Numero Total Empleados","41","MASCULINO","2019/07/10",261
"2749","Numero Total Empleados","42","MASCULINO","2019/07/10",248
"2750","Numero Total Empleados","43","MASCULINO","2019/07/10",261
"2751","Numero Total Empleados","44","MASCULINO","2019/07/10",261
"2752","Numero Total Empleados","45","MASCULINO","2019/07/10",268
"2753","Numero Total Empleados","46","MASCULINO","2019/07/10",261
"2754","Numero Total Empleados","47","MASCULINO","2019/07/10",268
"2755","Numero Total Empleados","48","MASCULINO","2019/07/10",248
"2756","Numero Total Empleados","49","MASCULINO","2019/07/10",268
"2757","Numero Total Empleados","50","MASCULINO","2019/07/10",250
"2758","Numero Total Empleados","51","MASCULINO","2019/07/10",261
"2759","Numero Total Empleados","52","MASCULINO","2019/07/10",268
"2760","Numero Total Empleados","53","MASCULINO","2019/07/10",248
"2761","Numero Total Empleados","54","MASCULINO","2019/07/10",248
"2762","Numero Total Empleados","55","MASCULINO","2019/07/10",268
"2763","Numero Total Empleados","56","MASCULINO","2019/07/10",268
"2764","Numero Total Empleados","57","MASCULINO","2019/07/10",268
"2765","Numero Total Empleados","58","MASCULINO","2019/07/10",248
"2766","Numero Total Empleados","59","MASCULINO","2019/07/10",268
"2767","Numero Total Empleados","60","MASCULINO","2019/07/10",248
"2768","Numero Total Empleados","61","MASCULINO","2019/07/10",248
"2769","Numero Total Empleados","62","MASCULINO","2019/07/10",248
"2770","Numero Total Empleados","63","MASCULINO","2019/07/10",248
"2771","Numero Total Empleados","64","MASCULINO","2019/07/10",248
"2772","Numero Total Empleados","65","MASCULINO","2019/07/10",248
"2773","Numero Total Empleados","66","MASCULINO","2019/07/10",248
"2774","Numero Total Empleados","95","MASCULINO","2019/07/10",248
"2775","Numero Total Empleados","33","MASCULINO","2019/07/11",14
"2776","Numero Total Empleados","40","MASCULINO","2019/07/11",14
"2777","Numero Total Empleados","43","MASCULINO","2019/07/11",2
"2778","Numero Total Empleados","63","MASCULINO","2019/07/11",14
"2779","Numero Total Empleados","21","FEMENINO","2019/07/12",96
"2780","Numero Total Empleados","22","FEMENINO","2019/07/12",182
"2781","Numero Total Empleados","23","FEMENINO","2019/07/12",96
"2782","Numero Total Empleados","24","FEMENINO","2019/07/12",182
"2783","Numero Total Empleados","26","FEMENINO","2019/07/12",96
"2784","Numero Total Empleados","28","FEMENINO","2019/07/12",96
"2785","Numero Total Empleados","30","FEMENINO","2019/07/12",86
"2786","Numero Total Empleados","34","FEMENINO","2019/07/12",96
"2787","Numero Total Empleados","38","FEMENINO","2019/07/12",96
"2788","Numero Total Empleados","47","FEMENINO","2019/07/12",86
"2789","Numero Total Empleados","48","FEMENINO","2019/07/12",96
"2790","Numero Total Empleados","51","FEMENINO","2019/07/12",96
"2791","Numero Total Empleados","54","FEMENINO","2019/07/12",86
"2792","Numero Total Empleados","56","FEMENINO","2019/07/12",87
"2793","Numero Total Empleados","60","FEMENINO","2019/07/12",96
"2794","Numero Total Empleados","64","FEMENINO","2019/07/12",86
"2795","Numero Total Empleados","22","MASCULINO","2019/07/12",182
"2796","Numero Total Empleados","23","MASCULINO","2019/07/12",182
"2797","Numero Total Empleados","24","MASCULINO","2019/07/12",182
"2798","Numero Total Empleados","25","MASCULINO","2019/07/12",182
"2799","Numero Total Empleados","26","MASCULINO","2019/07/12",182
"2800","Numero Total Empleados","27","MASCULINO","2019/07/12",182
"2801","Numero Total Empleados","28","MASCULINO","2019/07/12",86
"2802","Numero Total Empleados","29","MASCULINO","2019/07/12",182
"2803","Numero Total Empleados","30","MASCULINO","2019/07/12",182
"2804","Numero Total Empleados","32","MASCULINO","2019/07/12",86
"2805","Numero Total Empleados","33","MASCULINO","2019/07/12",86
"2806","Numero Total Empleados","34","MASCULINO","2019/07/12",182
"2807","Numero Total Empleados","35","MASCULINO","2019/07/12",182
"2808","Numero Total Empleados","36","MASCULINO","2019/07/12",182
"2809","Numero Total Empleados","37","MASCULINO","2019/07/12",182
"2810","Numero Total Empleados","38","MASCULINO","2019/07/12",182
"2811","Numero Total Empleados","39","MASCULINO","2019/07/12",182
"2812","Numero Total Empleados","40","MASCULINO","2019/07/12",86
"2813","Numero Total Empleados","41","MASCULINO","2019/07/12",182
"2814","Numero Total Empleados","42","MASCULINO","2019/07/12",182
"2815","Numero Total Empleados","43","MASCULINO","2019/07/12",182
"2816","Numero Total Empleados","44","MASCULINO","2019/07/12",86
"2817","Numero Total Empleados","45","MASCULINO","2019/07/12",96
"2818","Numero Total Empleados","46","MASCULINO","2019/07/12",182
"2819","Numero Total Empleados","47","MASCULINO","2019/07/12",96
"2820","Numero Total Empleados","48","MASCULINO","2019/07/12",182
"2821","Numero Total Empleados","49","MASCULINO","2019/07/12",96
"2822","Numero Total Empleados","50","MASCULINO","2019/07/12",182
"2823","Numero Total Empleados","51","MASCULINO","2019/07/12",96
"2824","Numero Total Empleados","52","MASCULINO","2019/07/12",182
"2825","Numero Total Empleados","53","MASCULINO","2019/07/12",182
"2826","Numero Total Empleados","54","MASCULINO","2019/07/12",182
"2827","Numero Total Empleados","55","MASCULINO","2019/07/12",182
"2828","Numero Total Empleados","56","MASCULINO","2019/07/12",184
"2829","Numero Total Empleados","57","MASCULINO","2019/07/12",182
"2830","Numero Total Empleados","58","MASCULINO","2019/07/12",182
"2831","Numero Total Empleados","59","MASCULINO","2019/07/12",182
"2832","Numero Total Empleados","60","MASCULINO","2019/07/12",182
"2833","Numero Total Empleados","61","MASCULINO","2019/07/12",98
"2834","Numero Total Empleados","62","MASCULINO","2019/07/12",182
"2835","Numero Total Empleados","65","MASCULINO","2019/07/12",96
"2836","Numero Total Empleados","66","MASCULINO","2019/07/12",96
"2837","Numero Total Empleados","68","MASCULINO","2019/07/12",86
"2838","Numero Total Empleados","75","MASCULINO","2019/07/12",96
"2839","Numero Total Empleados","89","MASCULINO","2019/07/12",1
"2840","Numero Total Empleados","46","MASCULINO","2019/07/15",1
"2841","Numero Total Empleados","55","MASCULINO","2019/07/15",1
"2842","Numero Total Empleados","64","MASCULINO","2019/07/15",1
"2843","Numero Total Empleados","31","FEMENINO","2019/07/16",2
"2844","Numero Total Empleados","26","MASCULINO","2019/07/16",2
"2845","Numero Total Empleados","31","FEMENINO","2019/07/17",4
"2846","Numero Total Empleados","34","FEMENINO","2019/07/17",4
"2847","Numero Total Empleados","52","FEMENINO","2019/07/17",4
"2848","Numero Total Empleados","61","FEMENINO","2019/07/17",4
"2849","Numero Total Empleados","22","MASCULINO","2019/07/17",27
"2850","Numero Total Empleados","25","MASCULINO","2019/07/17",67
"2851","Numero Total Empleados","26","MASCULINO","2019/07/17",40
"2852","Numero Total Empleados","28","MASCULINO","2019/07/17",29
"2853","Numero Total Empleados","29","MASCULINO","2019/07/17",27
"2854","Numero Total Empleados","31","MASCULINO","2019/07/17",67
"2855","Numero Total Empleados","33","MASCULINO","2019/07/17",40
"2856","Numero Total Empleados","34","MASCULINO","2019/07/17",27
"2857","Numero Total Empleados","35","MASCULINO","2019/07/17",27
"2858","Numero Total Empleados","36","MASCULINO","2019/07/17",40
"2859","Numero Total Empleados","37","MASCULINO","2019/07/17",27
"2860","Numero Total Empleados","39","MASCULINO","2019/07/17",67
"2861","Numero Total Empleados","41","MASCULINO","2019/07/17",27
"2862","Numero Total Empleados","43","MASCULINO","2019/07/17",27
"2863","Numero Total Empleados","46","MASCULINO","2019/07/17",67
"2864","Numero Total Empleados","47","MASCULINO","2019/07/17",27
"2865","Numero Total Empleados","48","MASCULINO","2019/07/17",40
"2866","Numero Total Empleados","52","MASCULINO","2019/07/17",40
"2867","Numero Total Empleados","62","MASCULINO","2019/07/17",40
"2868","Numero Total Empleados","62","FEMENINO","2019/07/18",5
"2869","Numero Total Empleados","29","MASCULINO","2019/07/18",5
"2870","Numero Total Empleados","64","MASCULINO","2019/07/18",5
"2871","Numero Total Empleados","23","FEMENINO","2019/07/19",191
"2872","Numero Total Empleados","24","FEMENINO","2019/07/19",191
"2873","Numero Total Empleados","25","FEMENINO","2019/07/19",191
"2874","Numero Total Empleados","26","FEMENINO","2019/07/19",191
"2875","Numero Total Empleados","27","FEMENINO","2019/07/19",191
"2876","Numero Total Empleados","28","FEMENINO","2019/07/19",191
"2877","Numero Total Empleados","30","FEMENINO","2019/07/19",191
"2878","Numero Total Empleados","31","FEMENINO","2019/07/19",191
"2879","Numero Total Empleados","32","FEMENINO","2019/07/19",191
"2880","Numero Total Empleados","34","FEMENINO","2019/07/19",191
"2881","Numero Total Empleados","35","FEMENINO","2019/07/19",191
"2882","Numero Total Empleados","36","FEMENINO","2019/07/19",191
"2883","Numero Total Empleados","37","FEMENINO","2019/07/19",191
"2884","Numero Total Empleados","39","FEMENINO","2019/07/19",191
"2885","Numero Total Empleados","40","FEMENINO","2019/07/19",191
"2886","Numero Total Empleados","41","FEMENINO","2019/07/19",191
"2887","Numero Total Empleados","44","FEMENINO","2019/07/19",191
"2888","Numero Total Empleados","52","FEMENINO","2019/07/19",191
"2889","Numero Total Empleados","53","FEMENINO","2019/07/19",191
"2890","Numero Total Empleados","57","FEMENINO","2019/07/19",191
"2891","Numero Total Empleados","22","MASCULINO","2019/07/19",191
"2892","Numero Total Empleados","23","MASCULINO","2019/07/19",191
"2893","Numero Total Empleados","24","MASCULINO","2019/07/19",191
"2894","Numero Total Empleados","25","MASCULINO","2019/07/19",191
"2895","Numero Total Empleados","26","MASCULINO","2019/07/19",191
"2896","Numero Total Empleados","27","MASCULINO","2019/07/19",191
"2897","Numero Total Empleados","28","MASCULINO","2019/07/19",191
"2898","Numero Total Empleados","29","MASCULINO","2019/07/19",191
"2899","Numero Total Empleados","30","MASCULINO","2019/07/19",191
"2900","Numero Total Empleados","31","MASCULINO","2019/07/19",191
"2901","Numero Total Empleados","32","MASCULINO","2019/07/19",191
"2902","Numero Total Empleados","33","MASCULINO","2019/07/19",191
"2903","Numero Total Empleados","34","MASCULINO","2019/07/19",191
"2904","Numero Total Empleados","35","MASCULINO","2019/07/19",191
"2905","Numero Total Empleados","36","MASCULINO","2019/07/19",191
"2906","Numero Total Empleados","37","MASCULINO","2019/07/19",191
"2907","Numero Total Empleados","38","MASCULINO","2019/07/19",191
"2908","Numero Total Empleados","39","MASCULINO","2019/07/19",191
"2909","Numero Total Empleados","40","MASCULINO","2019/07/19",191
"2910","Numero Total Empleados","41","MASCULINO","2019/07/19",191
"2911","Numero Total Empleados","42","MASCULINO","2019/07/19",191
"2912","Numero Total Empleados","43","MASCULINO","2019/07/19",191
"2913","Numero Total Empleados","44","MASCULINO","2019/07/19",191
"2914","Numero Total Empleados","45","MASCULINO","2019/07/19",191
"2915","Numero Total Empleados","46","MASCULINO","2019/07/19",191
"2916","Numero Total Empleados","47","MASCULINO","2019/07/19",191
"2917","Numero Total Empleados","48","MASCULINO","2019/07/19",191
"2918","Numero Total Empleados","49","MASCULINO","2019/07/19",191
"2919","Numero Total Empleados","50","MASCULINO","2019/07/19",191
"2920","Numero Total Empleados","51","MASCULINO","2019/07/19",191
"2921","Numero Total Empleados","52","MASCULINO","2019/07/19",191
"2922","Numero Total Empleados","53","MASCULINO","2019/07/19",191
"2923","Numero Total Empleados","54","MASCULINO","2019/07/19",191
"2924","Numero Total Empleados","55","MASCULINO","2019/07/19",191
"2925","Numero Total Empleados","56","MASCULINO","2019/07/19",191
"2926","Numero Total Empleados","57","MASCULINO","2019/07/19",191
"2927","Numero Total Empleados","58","MASCULINO","2019/07/19",191
"2928","Numero Total Empleados","59","MASCULINO","2019/07/19",191
"2929","Numero Total Empleados","60","MASCULINO","2019/07/19",191
"2930","Numero Total Empleados","61","MASCULINO","2019/07/19",191
"2931","Numero Total Empleados","63","MASCULINO","2019/07/19",191
"2932","Numero Total Empleados","64","MASCULINO","2019/07/19",191
"2933","Numero Total Empleados","65","MASCULINO","2019/07/19",191
"2934","Numero Total Empleados","66","MASCULINO","2019/07/19",191
"2935","Numero Total Empleados","198","NR - NO REPORTADO","2019/07/19",191
"2936","Numero Total Empleados","25","FEMENINO","2019/07/22",25
"2937","Numero Total Empleados","23","MASCULINO","2019/07/22",25
"2938","Numero Total Empleados","24","MASCULINO","2019/07/22",25
"2939","Numero Total Empleados","25","MASCULINO","2019/07/22",159
"2940","Numero Total Empleados","26","MASCULINO","2019/07/22",134
"2941","Numero Total Empleados","27","MASCULINO","2019/07/22",134
"2942","Numero Total Empleados","28","MASCULINO","2019/07/22",159
"2943","Numero Total Empleados","29","MASCULINO","2019/07/22",159
"2944","Numero Total Empleados","30","MASCULINO","2019/07/22",25
"2945","Numero Total Empleados","32","MASCULINO","2019/07/22",159
"2946","Numero Total Empleados","33","MASCULINO","2019/07/22",159
"2947","Numero Total Empleados","34","MASCULINO","2019/07/22",159
"2948","Numero Total Empleados","35","MASCULINO","2019/07/22",159
"2949","Numero Total Empleados","36","MASCULINO","2019/07/22",134
"2950","Numero Total Empleados","37","MASCULINO","2019/07/22",134
"2951","Numero Total Empleados","38","MASCULINO","2019/07/22",159
"2952","Numero Total Empleados","40","MASCULINO","2019/07/22",134
"2953","Numero Total Empleados","41","MASCULINO","2019/07/22",134
"2954","Numero Total Empleados","42","MASCULINO","2019/07/22",159
"2955","Numero Total Empleados","44","MASCULINO","2019/07/22",134
"2956","Numero Total Empleados","46","MASCULINO","2019/07/22",159
"2957","Numero Total Empleados","48","MASCULINO","2019/07/22",25
"2958","Numero Total Empleados","49","MASCULINO","2019/07/22",25
"2959","Numero Total Empleados","52","MASCULINO","2019/07/22",25
"2960","Numero Total Empleados","55","MASCULINO","2019/07/22",25
"2961","Numero Total Empleados","56","MASCULINO","2019/07/22",25
"2962","Numero Total Empleados","61","MASCULINO","2019/07/22",134
"2963","Numero Total Empleados","24","FEMENINO","2019/07/23",70
"2964","Numero Total Empleados","28","FEMENINO","2019/07/23",70
"2965","Numero Total Empleados","29","FEMENINO","2019/07/23",85
"2966","Numero Total Empleados","33","FEMENINO","2019/07/23",70
"2967","Numero Total Empleados","34","FEMENINO","2019/07/23",85
"2968","Numero Total Empleados","35","FEMENINO","2019/07/23",85
"2969","Numero Total Empleados","39","FEMENINO","2019/07/23",85
"2970","Numero Total Empleados","44","FEMENINO","2019/07/23",70
"2971","Numero Total Empleados","46","FEMENINO","2019/07/23",20
"2972","Numero Total Empleados","48","FEMENINO","2019/07/23",1
"2973","Numero Total Empleados","50","FEMENINO","2019/07/23",20
"2974","Numero Total Empleados","61","FEMENINO","2019/07/23",20
"2975","Numero Total Empleados","22","MASCULINO","2019/07/23",85
"2976","Numero Total Empleados","24","MASCULINO","2019/07/23",20
